Date,Time,Location,Operator,Flight #,Route,AC  Type,Registration,cn / ln,Aboard,Fatalities,Ground,Summary
"March 29, 1953",,"Mtara, Tanganyika",Central African Airways,,Nairobi - Dar-es-Salaam,Vickers 616 Viking 1B,VP-YEY,168,13 (passengers:8 crew:5),13 (passengers:8 crew:5),0,"Crashed after a wing failed due to metal fatigue cracks after the aircraft encountered strong winds. A wrong type of grease used when fitting press fit bolts to the booms caused corrosion, thus weakening the lower starboard boom at the outboard bolt hole."
"April 10, 1953",,"Miandivazo, Madagascar",Air France,,Miandrivazo - Antananarivo,Junkers JU-5/-3m,F-BALE,090,15 (passengers:12 crew:3),4 (passengers:1 crew:3),0,The cargo plane crashed on take off after experiencing duel engine failure.
"April 10, 1953",,"Near Anchieta Island, Brazil",REAL,,,Doublas Dc-3,,,? (passengers:? crew:?),26 (passengers:? crew:?),,
"April 10, 1953",,"Off Kingston, Jamaica",Caribbean International Airways,,Kingston - George Town,Lockheed 18-56 LodeStar,VP-JBC,2568,13 (passengers:10 crew:3),13 (passengers:10 crew:3),0,"Lost an engine on takeoff, climbed to 100-200 ft. entering a slight banking turn and crashed into the sea. Failure of the left engine which was due to the cracking of the accessory drive gear. Failure of the pilot to take precautionary steps on hearing the back firing, which was a warning of possible engine failure."
"April 14, 1953",,"Near Guwahati, India",Airways,,Guwahati - Calcutta,Douglas C-47A,VT-AUJ,19149,3 (passengers:0 crew:3),3 (passengers:0 crew:3),0,The cargo plane broke apart in midair and crashed in the Khasi hills. The port wing failed in the air due to an upload as a result of being subjected to loads greater than those for which it was designed.
"April 14, 1953",0222,"Selleck, Washington",Miami Airlines,,Spokane - Ellenburgh,Douglas DC-3 (C-47-DL),N65743,20432,25 (passengers:22 crew:3),7 (passengers:5 crew:2),0,"The aircraft crashed into Cedar Mountain following double engine failure. The progressive failure of both engines, due to the lack of compliance with proper maintenance standards. Spark plugs in both engines had been operated beyond their normal maintenance inspection period and exhibited evidence of a condition conducive to detonation and preignition. There was evidence that detonation and preignition took place in both engines and that they ultimately failed as a result of master rod bearing failures."
"April 16, 1953",,"NW of Hanoi, Vietnam",Aigle Azur,,Hanoi - Na San,Douglas DC-3,F-BESS,19498,30 (passengers:27 crew:3),30 (passengers:27 crew:3),0,Crashed after takeoff due to wing failure.
"April 20, 1953",2308,"San Francisco Bay, California",Western Airlines,636,Los Angeles - San Francisco - Oakland,Douglas DC-6B,N91303,43823,10 (passengers:5 crew:5),8 (passengers:4 crew:4),0,The aircraft descended below minimum altitude and crashed into the sea. The pilot's action in continuing a descent below the 500 ft. prescribed minimum altitude until the aircraft struck the water. A probable contributing factor to the aircraft striking the water was the sensory illusion experienced by the pilots.
"May 02, 1953",1635,"Near Jalalogori, West Bengal, India",British Overseas Airways,783/057,Calcutta - Delhi,de Havilland DH106 Comet 1,G-ALYV,06008,43 (passengers:37 crew:6),43 (passengers:37 crew:6),0,"The aircraft crashed 6 minutes after taking off from Dum Dum Airport. The accident occurred during a violent thunderstorm. Wreckage indicated that the aircraft broke up in the air. Failure of both elevator spars caused by a heavy down-load that may have been associated with a pull-up maneuver. Severe gusts encountered in the thundersquall and overcontrolling or loss of control by the pilots when flying through the thunderstorm. The aircraft was nicknamed ""York Victor."""
"May 07, 1953",,"Off Hartland Point, England",Military - Royal Air Force,,Training,Vickers Valetta T-3,WG258,506,10 (passengers:0 crew:10),10 (passengers:0 crew:10),0,Crashed into the sea. Unknown cause.
"May 09, 1953",0128,"New Delhi, India",Air India,,Delh - Ahmedabad - Bombay,Douglas DC-3,VT-AUD,13716,18 (passengers:13 crew:5),18 (passengers:13 crew:5),0,"Stalled following takeoff. An error of judgement by the pilot, who executed a steep starboard turn. He could not come out of the overbanked turn in time because of the low altitude. Inexperience of the pilot with the type of the aircraft which he was flying."
"May 11, 1953",,"Prince Rupert, BC, Canada",Canadian Pacific Air Lines,,Sandpit - Prince Rupert,Consolidated PBY-5A Catalina,CF-CRV,21984,19 (passengers:16 crew:3),2 (passengers:1 crew:1),0,Crashed while attempting to land. Misuse of controls after the aircraft touched down on the water. The aircraft bounced several times with the final bounce being so severe the nose section was torn off.
"May 17, 1953",1415,"Near Marshall, Texas",Delta Air Lines,318,Dallas - Shreveport,Douglas DC-3,N28345,2224,20 (passengers:17 crew:3),19 (passengers:16 crew:3),0,"The plane crashed 13 miles east of Marashall Texas, during an approach to Shreveport in a severe thunderstorm. The encountering of conditions in a severe thunderstorm that resulted in loss of effective control of the aircraft and the failure of the captain to adhere to company directives requiring the avoidance of thunderstorms when conditions would allow such action."
"May 24, 1953",0418,"St. Louis, Missouri",Meteor Air,,Teterboro - Saint Louis,Douglas DC-3,N53596,20433,7 (passengers:2 crew:5),6 (passengers:1 crew:5),,Mismanagement of fuel resulting in loss of power and control while circling the field preparatory to an approach for landing.
"May 25, 1953",1530,"Amsterdam, Netherlands",KLM Royal Dutch Airlines,,Amsterdam - Paris,Convair CV-240-4,PH-TEI,125,34 (passengers:28 crew:6),0 (passengers:0 crew:0),2,"While taking off the plane reached a height of about 50 ft. after which flaps were retracted. The plane began to lose height and crash landed into a meadow. While no one on the plane died, two girls on a bicycle path were killed."
"May 27, 1953",0350,"Goose Wade, Russia",Aeroflot,18,Krasnoyarsk - Novosibirsk,Li-2 / Li-2T,CCCP-L4534,18429005,20 (passengers:16 crew:11),20 (passengers:16 crew:11),0,Midair collision. Crew did not follow the prescribed route. Inadequate preparation for flight. Tweny killed on the Li-2 and seven crew on the Li-2T
"June 14, 1953",1635,"Near Zugdidi, Georgia",Aeroflot,229,Krasnodar - Tbilisi,Ilyushin IL-2,CCCP-L1375,30103,18 (passengers:12 crew:6),18 (passengers:12 crew:6),0,Crashed after being struck by lightning. Poor planning by the crew in entering an area of deteriorating weather conditions.
"June 15, 1953",,"San Ramon Mtns., Costa Rica",LACSA,,Palmar Sur - San Isidoro,Douglas DC-3,TI-1002,14633/26078,17 (passengers:14 crew:3),9 (passengers:6 crew:3),0,Crashed into the San Ramone mountains while attempting to land in poor weather.
"June 15, 1953",,"Near Reo Copiapo, Chile",LAN Chile,,Copiapó - Santiago,Lockheed 18 Loadstar,CC-CLD-0100,2617,7 (passengers:5 crew:2),7 (passengers:5 crew:2),0,Crashed after taking off. Engine fire.
"June 16, 1953",,"Mount Phou-Lassy, French Indo-China",Aigle Azur,,Vientiane - Saigon,Douglas DC-3,F-BEST,19100,34 (passengers:31 crew:3),34 (passengers:31 crew:3),0,Crashed after on-board fire. Possibly shot down.
"June 17, 1953",2200,"Sao Paulo, Brazil",Panair do Brasil,,London - Bueno Aires,Lockheed 049-46-21 Constellation,PP-PDA,2066,17 (passengers:10 crew:7),17 (passengers:10 crew:7),0,Crashed while on final approach to Sao Paulo. Error of judgement by the crew during poor visibility at night.
"June 18, 1953",1634,"Tachikawa AFB, Tokyo, Japan",Military - U.S. Air Force,,Tachikawa AB - Kimpo AB,Douglas C-124A Globemaster II,51-137A,43471,129 (passengers:122 crew:7),129 (passengers:122 crew:7),0,Crashed shortly after taking off from Tachikawa Air Base. Engine failure during takeoff. A premature application of full flaps during the three engine approach resultied in loss of air speed and aircraft control. The plane crashed into a field of watermelons. First aviation disaster to claim more than 100 lives.
"July 12, 1953",0841,"Pacific Ocean, 325 miles east of Wake Island",Transocean Air Lines,512,Wake Island - Honolulu - Oakland,Douglas DC-6A,N90806,42901/153,58 (passengers:50 crew:8),58 (passengers:50 crew:8),0,"Lost at sea while en route from Wake Island to Honolulu, Hawaii, approximately 325 miles east of Wake Island. Cause not determined, but there was thunderstorms and turbulence in the area. Fourteen bodies and all life rafts were recovered. The plywood panel from the navigator's table was recovered with the words ""falling in"" written on it. There is some speculation that a bomb caused the accident. The aircraft was named ""The Royal Hawaiian."""
"July 17, 1953",2315,"Near Milton, Florida",Military - U.S. Navy,,Whitting NAS - Norfolk NB,Fairchild R4Q-2,131663,10830,46 (passengers:40 crew:6),44 (passengers:39 crew:5),0,"The co-pilot failed to maintain a sufficient rate of climb after becoming airborne, struck obstacles and crashed into a wooded area. The pilot suffered from spatial disorientation immediately after liftoff."
"July 27, 1953",1230,"Near Kanggye, North Korea",Aeroflot,,,Ilyushin IL-12,,,21 (passengers:15 crew:6),21 (passengers:15 crew:6),0,Shot down by a U.S. Air Force F-86 jet fighter towards the end of the Korean War. The Russian government claimed the plane was over Chinese air space.
"August 03, 1953",0228,"Off Fethiye Point, Turkey",Air France,,Rome - Beirut,Lockheed L- 749A Constellation,F-BAZS,2628,42 (passengers:34 crew:8),4 (passengers:4 crew:0),0,The No. 3 engine broke away from the aircraft following severe vibrations causing loss of control of the No. 4 engine and necessitating a ditching 1.5 miles from the coast. Failure in flight of a propeller blade. Four passengers drowned.
"August 03, 1953",2237,"Sharjah, United Arab Emirates",Orient Airways,,Karachi - Jeddah,Douglas DC-3,AP-AAD,9143,25 (passengers:21 crew:4),1 (passengers:1 crew:0),0,"Shortly after taking off, the aircraft entered a turn and crashed to the ground. The failure of the captain to supervise the first officer in flying the plane who was not able to fly on instruments in the dark."
"August 05, 1953",,Off Irish coast,Military - U.S. Air Force,,Travis - Lakenheath,Convair B-36,52-1369,303,23 (passengers:0 crew:23),19 (passengers:0 crew:19),0,"Crashed into the Atlantic Ocean after two of its engines caught fire, 500 miles off the Irish coast."
"August 18, 1953",,"Near San Diego, California",Aerovias Contreras,,,Curtiss C-46A,XA-GOT,26403,2 (passengers:0 crew:2),2 (passengers:0 crew:2),0,The cargo plane flew into a mountain east of San Diego.
"September 01, 1953",2330,"Near Barcelonnette, France",Air France,,Paris - Nice - Beirut - Baghdad - Karachi - Calcutta,Lockheed 749A Constellation,F-BAZZ,2674,42 (passengers:33 crew:9),42 (passengers:33 crew:9),0,"While on approach to land at Nice-Cote d' Azur Airport the aircraft crashed into Mt. Cemet in the French Alps. French violinist Jacques Tribaud, 72, among those killed. Navigational error. Pilot deviated from the prescribled route for reasons unknown."
"September 01, 1953",1842,"Vail, Washington",Regina Cargo Airlines,,Fort Ord - McChord,Douglas DC-3,N19941,6333,21 (passengers:19 crew:2),21 (passengers:19 crew:2),0,"Crashed on the fringe of the Cascade mountains, 26 nm short of McChord AFB. The pilot's attempt to continue flight under the provisions of VFR during IFR conditions."
"September 08, 1953",1316,"San Andres, Honduras",TACA,,San Pedro - San Andres,Douglas C-47A,XH-TAR,13817/25262,3 (passengers:0 crew:3),3 (passengers:0 crew:3),0,After a missed approach the No. 2 engine of the cargo plane failed. Failure of the right engine when the pilot wished to obtain maximum power from both engines after a missed landing.
"September 14, 1953",,"Chablekal, Mexico",Transportes Aéreos Mexicanos,,Campeche - Mérida,Douglas C-47A,XA-GIC,13113,2 (passengers:0 crew:2),1 (passengers:0 crew:1),0,The cargo plane struck a tower in fog while attempting to land. Too low approach.
"September 16, 1953",0834,"Albany, New York",American Airlines,723,Boston - Hartford - Albany - Chicago,Convair CV-240-0,N94255,116,28 (passengers:25 crew:3),28 (passengers:25 crew:3),0,"After circling, the aircraft crashed into two radio towers while on approach to Albany Municipal Airport. While the pilot was aligning with the runway, he descended below obstructions partially obscured by fog and crashed into radio towers. Crew's failure to abandon the landing under adverse weather conditions."
"September 25, 1953",1010,"Ankara, Turkey",Devlet Hava Yollari,,Ankara - Van,Douglas DC-3,TC-EGE,9694,21 (passengers:16 crew:5),5 (passengers:1 crew:4),0,"Crashed to the ground after an engine fire during takeoff. As the plane returned, it stalled and crashed."
"September 28, 1953",1618,"Louisville, Kentucky",Resort Airlines,,Philadelphia - Louisville,Curtiss C-46F-1-CU,N66534,22384,41 (passengers:38 crew:3),25 (passengers:22 crew:3),0,"While the plane was attempting to land it entered a steep climb, stalled and crashed. The structural failure of the left elevator in flight, causing loss of control. This structural failure was brought about by the left outboard hinge bolt backing out of the assembly. The underlying cause was improper maintenance which resulted in the installation of hinge bolts and bearings not meeting specifications, and inadequate inspection which failed to detect this condition."
"October 14, 1953",1454,"Frankfurt, Germany",Sabena,,Salzburg - Frankfurt - Brussels,Convair CV-240-12,OO-AWQ,154,44 (passengers:40 crew:4),44 (passengers:40 crew:4),0,Crashed while attempting to take off. Loss of engine power on takeoff. The loss of power may possibly be attributed to the heavy deposit of lead on the spark plugs.
"October 17, 1953",,"Lai Chau, Vietnam",Compagnie Sila,,,Douglas C-47B,F-VNAE,25591,7 (passengers:0 crew:7),2 (passengers:0 crew:2),0,The cargo plane crashed under unknown circumstances.
"October 19, 1953",0056,"New York City, New York",Eastern Air Lines,627,New York City - San Juan,Lockheed 749A Constellation,N119A,2616,27 (passengers:22 crew:5),2 (passengers:2 crew:0),0,The aircraft crashed a few seconds after becoming airborne. The captain's loss of visual reference and orientation when he encountered drifting fog shortly after becoming airborne on take-off and the resultant inadvertent assumption of a descending flight path.
"October 19, 1953",0710,"Near Monterrey, Mexico",Aerovias Contreras,,Monterrey - Falcon Dam,Douglas C-46A-CU ( DC-3),XA-GOT,26403,21 (passengers:18 crew:3),21 (passengers:18 crew:3),0,Crashed into a ravine while carring reporters and officials to the inauguration of Falcon Dam.
"October 27, 1953",1118,"Near Magadan, Russia",Aeroflot,783,Magadan - Okhotsk - Nikolayevsk-on-Amur - Khabarovsk,Ilyushin IL-12,L1765,93013102,32 (passengers:27 crew:5),22 (passengers:17 crew:5),,Stalled and crashed 6 km from the airport. Overloaded. Snow not removed from the wings. Icing.
"October 29, 1953",0844,"Near Half Moon Bay, California",British Commonwealth Pacific Airlines,304/44,Sydney - Honolulu - San Francisco,Douglas DC-6,VH-BPE,43125/131,19 (passengers:11 crew:8),19 (passengers:11 crew:8),0,"While flying in fog on an approach to San Francisco International Airport, the aircraft crashed into a redwood forest on a mountain ridge, 7.5 miles southeast of Half Moon Bay. The plane struck the ridge of King's Mountain and broke up, scattering wreckage over a half-mile area. Failure of the crew to follow prescribed procedures for an instrument approach. American pianist, William Kapell, 31, killed."
"October 31, 1953",0030,"Kharkov. Ukraine, Russia",Aeroflot,270,Rostov-on-Don - Kharkiv - Moscow,Li-2,L4732,18432509,16 (passengers:11 crew:5),15 (passengers:10 crew:5),0,The plane stalled while landing due to improperly set controls. Poor approach techniques on part of the flying crew and against the published procedures according to the weather conditions.
"November 03, 1953",,"Tarabuco, Bolivia",Lloyd Aereo Boliviano,,Camiri - Sucre,Douglas DC-3,CP-600,2181,28 (passengers:25 crew:3),28 (passengers:25 crew:3),0,"Crashed into the Rodeo Pampa mountains during an approach to Sucre, 18 miles from its destination."
"November 11, 1953",1730,"Off Argyll, Scotland",Military - Royal Air Force,,Training,Avro Shackleton MR-2,WL746,,10 (passengers:0 crew:10),10 (passengers:0 crew:10),0,Crashed in the Atlantic during a training exercise.
"December 04, 1953",1700,"Near Guaderrama, Spain",Aviaco,,Bilbao - Madrid,Bristol 170 Freighter 21,EC-AEG,12797,33 (passengers:28 crew:5),23 (passengers:22 crew:1),0,Crashed into Mt. Somosierra in poor weather conditions. It is believed the aircraft suffered downdraft and lost altitude before colliding with a mountain.
"December 12, 1953",0325,"Nagpur, India",Indian Airlines,,New Delhi - Nagpur - Madras,Douglas DC-3,VT-CHF,11810,14 (passengers:10 crew:4),13 (passengers:10 crew:3),0,"Shortly after taking off , the aircraft experienced loss of control in too steep a turn. Loss of critical height during a steep left hand turn, with the landing gear down, executed by the pilot at an unsafe altitude in an attempt to return to the aerodrome, after experiencing a temporary loss of power of the left engine soon after becoming airborne. A false right engine fire warning precipitated the attempt at a forced landing."
"December 15, 1953",,"Tecpan Mt., Guatemala",Aviateca,,Brownsville - Guatemala City,Curtiss C-46D,TG-AQA,33589,2 (passengers:0 crew:2),2 (passengers:0 crew:2),0,"The cargo plane with a load of citrus fruit flew into a 8,000 ft. mountain."
"December 15, 1953",,"Near Cairo, Egypt",Misair,,Cairo - Luxor,VC-Viking,SU-AFK,213,6 (passengers:5 crew:1),6 (passengers:5 crew:1),,Crashed on takeoff from Cairo-Almaza Airport.
"December 17, 1953",0650,"Guam, Mariana Islands",Military - U.S. Air Force,,,Boeing B-29,44-87741,,16 (passengers:6 crew:10),11 (passengers:5 crew:6),8,"The aircraft crashed into an officer's housing area after attemping to make an emergency landing with an engine out,at Anderson Air Force Base on Guam."
"December 19, 1953",1855,"Zurich, Switzerland",Sabena,,Brussels - Zurich,Convair CV-240,OO-AWO,128,44 (passengers:41 crew:3),1 (passengers:1 crew:0),0,Descended below the glide path in poor weather and darkness and crashed 1.5 miles short of the runway. Poor approach procedures performed by the pilot.
"December 21, 1953",,"Dah-el-Kadeeb, Syria",Syrian Airways,,,Douglas DC-3,YK-AAF,TDB,15 (passengers:? crew:?),9 (passengers:? crew:?),0,
"January 02, 1954",,"Herat, Afghanistan",Ariana Afghan Airlines,,,Douglas DC-3,,,21 (passengers:? crew:?),21 (passengers:? crew:?),0,Two Russian trade delegates were killed when the plane crashed near Herat in a showstorm.
"January 05, 1954",,"Lapseki, Turkey",Devlet Hava Yollari,,Istanbull - Bandirma - Canakkal7,Douglas DC-3,TC-BAG,19616,10 (passengers:5 crew:5),4 (passengers:2 crew:2),0,Flew into a mountain near Lapseki.
"January 06, 1954",1720,"Near Aldbury, England",Military -Royal Air Force,,Bovingdon AF - Thorney Island,Vickers Valetta,WJ474,599,17 (passengers:13 crew:4),16 (passengers:12 crew:4),0,The aircraft crashed 4 minutes after taking off in a snow shower. The aircraft lost altitude and crashed to the ground for reasons unknown.
"January 10, 1954",1105,"Off Elba, Italy",British Overseas Airways,781,Rome - London,de Havilland DH106 Comet 1,G-ALYP,06003,35 (passengers:29 crew:6),35 (passengers:29 crew:6),0,"The aircraft broke up in-flight while en route from Rome to London. Metal fatigue due to a design flaw caused a breakup of the aircraft. One of two accidents with the same cause. The aircraft was nicknamed ""Yoke Peter."""
"January 11, 1954",0615,"Manizales, Colombia",AVIANCA,,Medellin - Armenia,Douglas DC-3,HK-160,19540,21 (passengers:18 crew:3),21 (passengers:18 crew:3),0,"While descending to Manizales by night and poor weather conditions, the aircraft collided with a mountain shrouded by clouds and disintegrated on impact."
"January 12, 1954",1355,"Prague, Czech Republic",Czech Airlines,,Prague - Ostrava,Douglas C-47 Skytrain (DC-3),OK-WDS,11854,18 (passengers:14 crew:4),13 (passengers:9 crew:4),0,"The crew spotted a chimney and the pilot made a sharp turn to the left to avoid a collision. In doing so, the airplane hit a telephone pole and telegraphic cables, stalled and crashed in flames in a snow covered field. The accident was the consequence of poor flying techniques on part of the pilot-in-command during initial climb."
"January 13, 1954",,"Signal Hill, California",Military - U.S. Air Force,,Williams AFB - Long Beach,F-88 Sabre Jet,,,1 (passengers:0 crew:1),1 (passengers:0 crew:1),6,The jet fighter crashed into homes killing 6 people and destroying 3 homes while attempting to land at Long Beach Airport..
"January 14, 1954",1150,"Rome, Italy",Philippine Air Lines,,"Beirut, Lebanon - Rome, Italy",Douglas DC-6,PI-C294,42903/150,16 (passengers:9 crew:7),16 (passengers:9 crew:7),0,While descending to make an IFR landing the aircraft went into a steep dive and crashed. There was a possibility of both right engines being on fire. There was turbulence in the area.. The aircraft possibly lost a wing during a pull out from the steep dive.
"January 20, 1954",0708,"Kansas City, Missouri",Zantop Air Transport,,Jackson - Kansas City,Douglas DC-3A,N49551,4940,3 (passengers:0 crew:3),3 (passengers:0 crew:3),0,The cargo plane crashed while on approach. The loss of control of the aircraft at an altitude too low to effect recovery. The loss of control resulted from an accumulation of ice and the use of de-icer boots at low air speeds.
"February 01, 1954",1350,"Off Hokkaido, Japan",Military - U.S. Air Force,,Misawa - Chitose,Curtiss-Wright C46D-CU,44-78027A,33423,35 (passengers:30 crew:5),35 (passengers:30 crew:5),0,"After reporting a fire in the cargo hold and that a ditching was imminent, the last message from the aircraft was ""I've lost control of the aircraft we're going in."" The plane crashed 30 km south of Tomakomai."
"February 05, 1954",,"Susitna Valley, Alaska",Military - U.S. Air Force,,Ladd AFB - Elemndorf AFB,Douglas C-47,5895,,16 (passengers:0 crew:16),10 (passengers:0 crew:10),0,"The plane broke apart over the Susitna Valley of South Central Alaska and the scattered parts fell onto Kesugi Ridge, which is now within Denali State Park. Six servicemen wearing parachutes escaped by being thrown from the disintegrating aircraft."
"February 12, 1954",,"Off Gozo, Malta",Military - Royal Air Force,,Military exercise,Avro Shackleton MR-2,WL794,,10 (passengers:0 crew:10),10 (passengers:0 crew:10),0,Crashed at sea while on manuvers.
"February 25, 1954",1100,"New Delhi, India",Indian Airlines,,Test flight,Douglas DC-3,VT-ATU,20358,3 (passengers:0 crew:3),3 (passengers:0 crew:3),0,The test flight crashed after attempting to determine the cause of a crash at Nagpur on 12/12/1953.
"February 26, 1954",1032,"Wright, Wyoming",Western Airlines,314,Salt Lake City - Cedar City - Rapid City,Convair CV-240,N8407H,37,9 (passengers:6 crew:3),9 (passengers:6 crew:3),0,"After entering an area of severe turbulence and icing, the plane made a rapid descent and struck the ground at high speed. A sudden emergency of undetermined origin under adverse weather conditions resulting in rapid descent and impact with the ground at high speed."
"March 04, 1954",1430,"Near St. Etienne de Tinee, France",Military - U.S. Air Force,,"Tripoli, Libya - Hahn, W Germany",Douglas C-47A-DL,42-24096A,9958,20 (passengers:18 crew:2),20 (passengers:18 crew:2),0,"The aircraft struck a mountain and disintegrated at an altitude of 8,000 ft. while en route. The accident occurred in snow and low overcast conditions. The plane had drifted off the prescribed course and no wind drift correction had been made."
"March 13, 1954",,"Dien Bien Phu, South Vietnam",Aigle Azur,,,C-46,,,? (passengers:? crew:?),? (passengers:? crew:?),,Shot down.
"March 13, 1954",1434,"Kallang Airport, Singapore",British Overseas Airways,,Australia - London,Lockheed 749A-79-33 Constellation,G-ALAM,2554,40 (passengers:31 crew:9),33 (passengers:31 crew:2),0,"Crashed short of the runway, hit a wall, overturned and caught fire. Improper procedures used in landing. Pilot fatigue."
"March 14, 1954",0420,"Off Mackay, Australia",Queensland Airlines,,Mackay - Rockhampton,Douglas C-47A,VH-BBV,12360,2 (passengers:0 crew:2),2 (passengers:0 crew:2),0,"One minute after taking off, the cargo plane crashed into the sea off Mackay."
"March 19, 1954",2230,"Near Lothian, Maryland",Military - U.S. Air Force,,"Oklahoma - Long Island, NY",Fairchild C-110F,51-7993,10732,18 (passengers:12 crew:6),18 (passengers:12 crew:6),0,Crashed to the ground about 20 minutes after leaving Bolling Air Force Base. The aircraft was circling a radio beacon under VFR waiting for IFR clearance. An attempt to maintain VFR flight at night and in poor visibility. Possible crew fatigue.
"March 26, 1954",,"Monterrey, Mexico",Aeronaves de Mexico,,Mazatlan - Monterey,Douglas DC-3,XA-GUN,7358,18 (passengers:15 crew:3),18 (passengers:15 crew:3),0,Crashed and burned on Friar's Peak in the Salinas mountains after being waved off for landing due to a dust storm.
"April 03, 1954",1340,"Kabassaak, Turkey",Devlet Hava Yollari,,Adana - Istanbul,Douglas DC-3,TC-ARK,19509,25 (passengers:20 crew:5),25 (passengers:20 crew:5),0,"Exploded in midair about 25 miles from Adana, 15 minutes after takeoff from Adana."
"April 04, 1954",,"Hanoi, Vietnam",Autrex,,,Douglas C-54A,F-BFGQ,10341,4 (passengers:0 crew:4),4 (passengers:0 crew:4),0,The cargo plane crashed into the Red River while on final approach.
"April 08, 1954",2004,"Off Stromboli, Italy","South African Airways, leased from British Overseas Airways",201,Rome - Cairo,de Havilland DH106 Comet 1,G-ALYY,06011,21 (passengers:14 crew:7),21 (passengers:14 crew:7),0,"The aircraft broke up in-flight and crashed into the sea en route from Rome to Cairo. Metal fatigue due to a design flaw led to the breakup of the aircraft. This is the second accident with the same cause. The aircraft was nicknamed ""Yoke Yoke."""
"April 08, 1954",1003,"Moose Jaw, SK, Canada",Trans Canada Air Lines / RCAF,9,Montreal - Vancouver,Canadair C-4-1 Northstar / Harvard Mark II,CF-TFW/RCAF3309,150,36 (passengers:31 crew:5),36 (passengers:31 crew:5),1,"Midair collision between a Canadair C-4-1 and a RCAF Harvard Mark II at 6,000 feet. Thirty-five killed on the Canadair, one on the Harvard. Failure on the part of the pilots of both aircraft to maintain a proper lookout. The onus of responsibility for keeping out of the way being with the Harvard aircraft as it had the other on its own right side."
"April 13, 1954",1310,"Batuco, Chile",LAN,,Santiago - Iquique,Douglas DC-3,956,4470,14 (passengers:9 crew:5),14 (passengers:9 crew:5),0,Shortly after taking off and climbing the plane crashed near Lake Batuco.
"April 13, 1954",,"Xieng Kouang, Laos",Societe Indochinoise de Raviteillement,,,Lockheed 18 Lodestar,F-OALK,2603,23 (passengers:20 crew:3),16 (passengers:13 crew:3),0,Stalled and crashed and burned during takeoff.
"April 23, 1954",2125,"Sierra del Vilgo, Argentina",Aerolineas Argentinas,,Mendoza - Cordoba,Douglas DC-3,LV-ACX,12387,25 (passengers:21 crew:4),25 (passengers:21 crew:4),0,Crashed into a mountain during an approach. Deviation from prescribed course for unknown reasons. Crew fatigue may have played a part. The captain acted contrary to company policy regarding a required IFR approach.
"April 30, 1954",0918,"Near Calcutta, India",Darbhanga Aviation,,,Douglas C-47A-30-DK,VT-DEM,13792,11 (passengers:8 crew:3),5 (passengers:3 crew:2),0,"The aircraft tried to return to the airport after the No. 1 engine failed on takeoff but was unable to maintain airspeed, stalled and crashed into a tree. Delay in feathering the No. 1 engine after failure. Improper emergency procedural errors by the pilot."
"May 22, 1954",0923,"Paraparaumu, New Zealand",New Zealand National Airways,,Churchchrist - Paraparaumu,Douglas DC-3,ZK-AQT,15948/32696,28 (passengers:26 crew:2),3 (passengers:3 crew:0),0,Crashed onto a roadway from a height of 500 ft. and into a clump of trees.The crew used the wrong fuel selection configueration and the engines failed due to fuel starvation.
"May 31, 1954",,"Cipo Mountain, Brazil",Transportes Aereos Nacionales,,Governador Valadares - Belo Horizonte,Douglas DC-3,PP-ANO,19830,19 (passengers:16 crew:3),19 (passengers:16 crew:3),0,The aircraft deviated from its normal course by 30 miles and struck the slope of Mt Cipóa. Navigational error. The minimum safety height for the route was not complied with.
"June 03, 1954",,"Near Maribor, Slovenia",Sabena,,"Blackbushe, UK - Beogard, Serbia",Douglas C-47A,OO-CBY,11982,4 (passengers:0 crew:4),1 (passengers:0 crew:1),0,The cargo plane ran off the end of the runway and crashed after being attacked by a fighter jet.
"June 04, 1954",1100,"Sao Paulo, Brazil",Varig,,Sao Paulo - Porto Alegre,Curtiss C-46A,PP-VBZ,30400,3 (passengers:0 crew:3),3 (passengers:0 crew:3),0,The cargo plane crashed on takeoff. Elevator lock was not removed prior to takeoff.
"June 08, 1954",,"Da Nang, Vietnam",Soc. de Tr. Aériens d'Extrême Orient,,Tourane - Saigon,Douglas C-47-DL,F-BCCL,4464,4 (passengers:2 crew:2),4 (passengers:2 crew:2),0,Crashed en route under unknown circumstances..
"June 19, 1954",2300,"Off Folkestone, England",Swissair,,Geneva - London,Convair CV-240-4,HB-IRW,61,9 (passengers:5 crew:4),3 (passengers:3 crew:0),0,The plane ditched into the Atlantic Ocean after running out of fuel. Three non-swimming passengers drowned due to lack of lifesaving equipment aboard. Negligence of the crew in not monitoring the fuel situation as the flight progressed.
"July 02, 1954",1200,"Near Salvador, Brazil",Military - Brazilian Air Force,,,Lockheed C-28,C-28-2901,,24 (passengers:20 crew:4),24 (passengers:20 crew:4),0,The aircraft crashed while attempting to take off. Engine failure at a critical stage in takeoff.
"July 23, 1954",0845,"Off Hainan Island, China",Cathay Pacific Airways,,Singapore - Hong Kong - Bangkok,Douglas DC-4,VR-HEU,10310,18 (passengers:12 crew:6),10 (passengers:8 crew:2),0,Ditched into the sea after being shot down by Chinese Lachovlin La-7 military fighter aircraft. The survivors were rescued by the U.S. Air Force.
"August 08, 1954",1540,"Near McGrath, Alaska",Alaska Airlines,,McGrath - Colorado Creek,Douglas DC-2,N91008,13977/25422,2 (passengers:0 crew:2),2 (passengers:0 crew:2),0,"The cargo plane flew into a mountain, 35 miles northeast of McGrath."
